144,20210709_00:22:56,silentxchild,wtf is this,1,6.006637,4.85729
145,20210709_00:23:00,srvrdmn,Wait really?,1,5.4698296,6.1832576
146,20210709_00:23:04,that_foxxys0b,na that asss to fine,1,7.4824386,5.392842
147,20210709_00:23:15,clawname,huh?,1,5.3544197,5.9304447
148,20210709_00:23:22,vladofrankfurt,Which product of Germany do you like most?,1,7.575428,8.6473
149,20210709_00:23:27,moonpoy,do you have a pp?,1,6.120416,8.3781805
150,20210709_00:23:27,srvrdmn,Cow statues?!,1,5.675721,6.170892
151,20210709_00:23:29,flok1fn,you are my teacher hehee,1,8.053224,6.3920493
152,20210709_00:23:39,wynd13,hey is that pickle rick?,1,5.770291,9.229651
153,20210709_00:23:40,jacob2016lol,onlyfans??,1,6.3375177,5.841851
154,20210709_00:23:40,c_dag_gaming_fr,you are sus,0,8.238699,5.930048
155,20210709_00:23:48,marfewz,Have you ever camped?,1,-4.3230925,0.53529173
156,20210709_00:23:50,stewartriding,so many baddies in austin,0,7.648513,5.8819857
157,20210709_00:23:50,zzzemmanuelzzz,wtf asse,1,6.6213665,4.5914516
158,20210709_00:23:54,doyiezz,big one,1,7.440682,5.174222
159,20210709_00:23:54,thevulkanhestan,Are you happy to do all this?,1,8.573987,8.409891
160,20210709_00:23:57,soyjocaa,getting ban again?,1,5.8317137,7.4785542
161,20210709_00:24:03,lonegunman_967,cows are tasty,2,7.794648,7.1213064
162,20210709_00:24:05,argomael,But… cows are female…,1,6.3753023,9.120573
163,20210709_00:24:09,karotftn,qui m’offre un sub ?,1,6.1658645,8.26178
164,20210709_00:24:12,troyvalley,Texas Longhorns have Bevo,1,7.4867544,6.762663
165,20210709_00:24:15,john_blaze_42,Waitwaht? ammoMarty ammoLUL,1,6.9798045,6.30986
166,20210709_00:24:21,vladofrankfurt,Which product of Germany do you like most?,1,7.598118,8.287628
167,20210709_00:24:24,marfewz,Have you ever camped ??,1,-4.3746085,0.48428804
168,20210709_00:24:26,erp0zz0,we can escape in Malta together,1,7.6315603,6.839051
169,20210709_00:24:34,darth_rowe,Do you watch Rick and Morty?,1,7.5474854,8.886295
170,20210709_00:24:35,lone_flayer,SOULJABOY is streaming on twitch rn is this real??,1,7.520758,6.892446
171,20210709_00:24:44,gochugamers,isnt sitting like that bad for the posture?,1,7.370446,8.456565
172,20210709_00:24:49,thevulkanhestan,Are you happy to do all this?,1,8.5007105,8.502193
173,20210709_00:24:52,lone_flayer,have u seen loki,1,7.5892825,8.643471
174,20210709_00:25:00,pouyadark,Kos tar az in hast ?,1,6.675689,7.2025385
175,20210709_00:25:07,agresser17,Did you finish your painting?,1,7.81247,8.026212
